Model,Seed,Train R^2,Val R^2,Test R^2,Train MAE,Val MAE,Test MAE,Train RMSE,Val RMSE,Test RMSE
ANN1,30,0.9363,0.9037,0.7513,1.0855,1.4336,1.1952,1.374,1.9853,1.5902
ANN2,31,0.9207,0.9001,0.1316,1.1508,1.5315,2.5151,1.5323,2.0221,2.9715
ANN3,32,0.9323,0.9134,0.5373,1.1314,1.411,1.8087,1.4166,1.8821,2.1689
ANN4,33,0.9434,0.895,-0.2074,1.0707,1.4935,2.7605,1.2953,2.0731,3.5038
ANN5,51,0.9438,0.9091,0.6941,1.0081,1.4031,1.5095,1.2908,1.9283,1.7635
ANN6,70,0.936,0.889,0.352,1.128,1.5849,2.2635,1.3767,2.1308,2.5669
ANN7,90,0.9173,0.8912,0.3641,1.1617,1.5806,2.2742,1.5657,2.1101,2.5428
ANN8,99,0.9383,0.9011,0.6535,1.1071,1.4358,1.4972,1.3523,2.0113,1.8769
ANN9,300,0.9218,0.89,0.667,1.2112,1.6013,1.5731,1.5218,2.1217,1.84
ANN10,310,0.9209,0.8804,0.5294,1.1895,1.6318,1.8955,1.5305,2.2121,2.1875
ANN11,320,0.9377,0.9026,0.5847,1.0484,1.4804,1.647,1.3584,1.996,2.0548
ANN12,330,0.9152,0.8889,0.7307,1.2261,1.577,1.2955,1.5848,2.1324,1.6546
ANN13,510,0.928,0.8944,0.7015,1.1562,1.5371,1.4088,1.4605,2.0789,1.7421
ANN14,700,0.9249,0.8979,0.2528,1.1637,1.521,2.3383,1.492,2.0434,2.7563
ANN15,900,0.9321,0.9072,0.5466,1.1117,1.4377,1.7424,1.4187,1.9482,2.1471
ANN16,990,0.936,0.8999,0.5202,1.1092,1.4941,1.7715,1.3768,2.0235,2.2087
ANN-AVG,-,0.9303,0.8977,0.4881,1.1287,1.5097,1.8435,1.4342,2.0437,2.2235
MEP,-,0.916,0.923,0.7086,1.206,1.383,1.6108,1.574,1.78,2.1676
GPR,-,0.91,0.93,0.8132,1.3802,1.1439,1.2048,1.804,1.5816,1.6146
