Model,Seed,Train R^2,Val R^2,Test R^2,Train MAE,Val MAE,Test MAE,Train RMSE,Val RMSE,Test RMSE
ANN1,1,0.9335,0.9187,0.05,0.037,0.0456,0.0889,0.0497,0.058,0.1117
ANN2,7,0.9533,0.931,0.7942,0.033,0.0433,0.0437,0.0416,0.0535,0.052
ANN3,201,0.9219,0.9104,0.7249,0.0412,0.0471,0.0499,0.0538,0.0609,0.0601
ANN4,202,0.9346,0.9218,0.7654,0.038,0.0456,0.0444,0.0492,0.0569,0.0555
ANN5,203,0.9258,0.897,0.7068,0.0405,0.0505,0.0511,0.0525,0.0653,0.0621
ANN6,204,0.9213,0.9131,0.4907,0.0409,0.0467,0.0652,0.054,0.06,0.0818
ANN7,207,0.9194,0.9083,0.7525,0.0426,0.0477,0.0484,0.0547,0.0617,0.057
ANN8,307,0.8901,0.8786,0.749,0.0476,0.0544,0.048,0.0638,0.0709,0.0574
ANN9,10,0.9021,0.8972,0.4324,0.0461,0.0502,0.0742,0.0602,0.0653,0.0864
ANN10,70,0.9403,0.9261,0.821,0.0354,0.0436,0.0406,0.0471,0.0553,0.0485
ANN11,2010,0.9115,0.902,0.6756,0.0436,0.0488,0.0559,0.0573,0.0637,0.0653
ANN12,2020,0.9349,0.9204,0.8018,0.0398,0.0459,0.0417,0.0491,0.0574,0.051
ANN13,2030,0.9367,0.9223,0.7595,0.0376,0.0448,0.0454,0.0484,0.0567,0.0562
ANN14,2040,0.9273,0.9075,0.7157,0.0405,0.0478,0.0465,0.0519,0.0619,0.0611
ANN15,2070,0.9059,0.8911,0.7162,0.0449,0.0518,0.0528,0.0591,0.0672,0.0611
ANN16,3070,0.9037,0.8905,0.7863,0.0456,0.0528,0.047,0.0598,0.0673,0.053
ANN-AVG,-,0.9226,0.9085,0.6714,0.0409,0.0479,0.0527,0.0533,0.0614,0.0638
MEP,-,0.872,0.858,0.7939,0.05,0.057,0.0485,0.069,0.077,0.0555
GPR,-,0.93,0.94,0.8707,0.0398,0.0395,0.0394,0.0509,0.051,0.0507
