No.,References,CG (%),CS (%),CF (%),LL (%),PL (%),Type,E (kJ/m3),wopt (%),ρdmax (Mg/m3)
1,Al-Hussaini (2017),0.0,9.1,90.9,29.5,19.2,CL,595,16.2,1.76
2,Al-Khafaji (1993),0.0,27.0,73.0,32.0,15.0,CL,593,16.0,1.82
3,Al-Khafaji (1993),0.0,9.0,91.0,46.0,17.0,CL,593,18.0,1.75
4,Al-Khafaji (1993),0.0,6.0,94.0,36.0,18.0,CL,593,18.2,1.74
5,Al-Khafaji (1993),0.0,8.0,92.0,43.0,21.0,CL,593,18.2,1.73
6,Al-Khafaji (1993),0.0,8.0,92.0,40.0,19.0,CL,593,17.2,1.73
7,Al-Khafaji (1993),0.0,6.0,94.0,38.0,21.0,CL,593,19.0,1.72
8,Al-Khafaji (1993),0.0,6.0,94.0,43.0,20.0,CL,593,18.2,1.74
9,Al-Khafaji (1993),0.0,20.0,80.0,38.0,17.0,CL,593,16.0,1.83
10,Al-Khafaji (1993),0.0,16.0,84.0,37.0,16.0,CL,593,16.6,1.79
11,Al-Khafaji (1993),0.0,18.0,82.0,34.0,14.0,CL,593,16.0,1.82
12,Al-Khafaji (1993),0.0,19.0,81.0,33.0,18.0,CL,593,15.0,1.83
13,Al-Khafaji (1993),0.0,10.0,90.0,33.0,18.0,CL,593,17.0,1.80
14,Al-Khafaji (1993),0.0,12.0,88.0,39.0,16.0,CL,593,18.6,1.75
15,Al-Khafaji (1993),0.0,3.0,97.0,49.0,21.0,CL,593,20.0,1.67
16,Al-Khafaji (1993),3.0,3.0,94.0,49.0,20.0,CL,593,20.0,1.67
17,Al-Khafaji (1993),0.0,5.0,95.0,45.0,20.0,CL,593,19.5,1.68
18,Al-Khafaji (1993),0.0,13.0,87.0,34.0,17.0,CL,593,17.0,1.77
19,Al-Khafaji (1993),0.0,5.0,95.0,43.0,20.0,CL,593,18.5,1.72
20,Al-Khafaji (1993),0.0,8.0,92.0,43.0,21.0,CL,593,20.0,1.68
21,Al-Khafaji (1993),0.0,6.0,94.0,35.0,16.0,CL,593,18.4,1.75
22,Al-Khafaji (1993),0.0,4.0,96.0,38.0,17.0,CL,593,19.5,1.71
23,Al-Khafaji (1993),0.0,4.0,96.0,34.0,21.0,CL,593,17.0,1.77
24,Al-Khafaji (1993),0.0,10.0,90.0,33.0,20.0,CL,593,17.5,1.78
25,Al-Khafaji (1993),0.0,5.0,95.0,35.0,22.0,CL,593,17.5,1.74
26,Al-Khafaji (1993),0.0,27.0,73.0,27.0,17.0,CL,593,16.0,1.84
27,Al-Khafaji (1993),0.0,13.0,87.0,27.0,17.0,CL,593,17.3,1.78
28,Al-Khafaji (1993),0.0,10.0,90.0,30.0,19.0,CL,593,17.8,1.75
29,Al-Khafaji (1993),0.0,5.0,95.0,36.0,20.0,CL,593,18.7,1.73
30,Al-Khafaji (1993),0.0,9.0,91.0,31.0,18.0,CL,593,18.0,1.75
31,Al-Khafaji (1993),0.0,11.0,89.0,33.0,18.0,CL,593,18.0,1.74
32,Al-Khafaji (1993),0.0,10.0,90.0,32.0,18.0,CL,593,17.0,1.75
33,Al-Khafaji (1993),0.0,10.0,90.0,36.0,19.0,CL,593,20.0,1.69
34,Al-Khafaji (1993),0.0,7.0,93.0,39.0,22.0,CL,593,21.5,1.66
35,Al-Khafaji (1993),0.0,19.0,81.0,23.0,19.0,CL,593,17.5,1.75
36,Al-Khafaji (1993),0.0,12.0,88.0,31.0,18.0,CL,593,17.6,1.75
37,Al-Khafaji (1993),0.0,5.0,95.0,41.0,22.0,CL,593,20.5,1.64
38,Al-Khafaji (1993),0.0,19.0,81.0,36.0,18.0,CL,593,18.9,1.77
39,Al-Khafaji (1993),0.0,15.0,85.0,36.0,20.0,CL,593,18.0,1.75
40,Al-Khafaji (1993),0.0,20.0,80.0,35.0,16.0,CL,593,16.2,1.81
41,Al-Khafaji (1993),0.0,25.0,75.0,36.0,20.0,CL,593,16.2,1.77
42,Al-Khafaji (1993),0.0,22.0,78.0,39.0,18.0,CL,593,16.7,1.77
43,Al-Khafaji (1993),0.0,25.0,75.0,29.0,18.0,CL,593,17.2,1.76
44,Al-Khafaji (1993),0.0,15.0,85.0,31.0,17.0,CL,593,16.2,1.81
45,Al-Khafaji (1993),0.0,27.0,73.0,29.0,19.0,CL,593,16.5,1.81
46,Al-Khafaji (1993),0.0,28.0,72.0,28.0,18.0,CL,593,15.3,1.84
47,Al-Khafaji (1993),0.0,15.0,85.0,33.0,20.0,CL,593,18.5,1.73
48,Al-Khafaji (1993),0.0,10.0,90.0,35.0,20.0,CL,593,17.0,1.72
49,Al-Khafaji (1993),0.0,25.0,75.0,32.0,20.0,CL,593,19.0,1.72
50,Daniel and Wu (1993),2.0,65.0,33.0,30.0,18.0,CL,593,13.9,1.88
51,Daniel and Wu (1993),2.0,65.0,33.0,30.0,18.0,CL,2693,12.3,1.95
52,Delage et al. (1996),0.0,4.0,96.0,37.0,19.0,CL,593,18.0,1.70
53,Di Sante (2019),3.0,4.0,93.0,49.0,27.0,CL,593,21.0,1.64
54,Di Sante (2019),0.0,10.0,90.0,42.0,24.0,CL,593,20.0,1.74
55,Duong et al. (2014),0.0,5.0,95.0,27.0,16.0,CL,593,16.0,1.78
56,Horpibulsuk et al. (2009),0.0,30.8,69.2,39.7,7.7,CL,593,15.4,1.80
57,Horpibulsuk et al. (2009),0.0,30.8,69.2,39.7,7.7,CL,1347,11.7,1.96
58,Horpibulsuk et al. (2009),0.0,30.8,69.2,39.7,7.7,CL,2693,10.2,2.04
59,Horpibulsuk et al. (2009),0.0,24.2,75.8,42.3,6.1,CL,593,16.5,1.79
60,Horpibulsuk et al. (2009),0.0,24.2,75.8,42.3,6.1,CL,1347,13.6,1.90
61,Horpibulsuk et al. (2009),0.0,24.2,75.8,42.3,6.1,CL,2693,11.7,1.97
62,Horpibulsuk et al. (2009),0.0,19.3,80.7,49.3,7.4,CL,593,17.7,1.72
63,Horpibulsuk et al. (2009),0.0,19.3,80.7,49.3,7.4,CL,2693,12.4,1.93
64,Inci et al. (2003),0.0,3.0,97.0,40.0,23.0,CL,593,22.0,1.62
65,Lim and Miller (2004),0.0,27.0,73.0,28.0,20.0,CL,593,14.6,1.81
66,Lim and Miller (2004),0.0,16.0,84.0,28.0,18.0,CL,593,17.6,1.76
